ID,Etage,Verortung,Parkplatz,Parkplatz,Position,Reflektiert,Symbole,Typografie,Inhalt,Farbe,Zweck,Richtung,Beleuchtet,Beschädigt,Beidseitig,Für wen,Foto,Notizen
33,1,,,,ceiling,,false,false,"",yellow,,,false,false,true,"pedestrian",,""
34,1,,,,wall,false,true,true,"fahrradstation",orange,note,,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/1/4926b620ec-1706713431/img_7276.jpg,""
35,1,,,,wall,,true,true,"fahrradstation",orange,note,,true,false,true,"pedestrian",,""
36,1,,,,wall,false,true,true,"Dorotheenstraße 30, FREI | BESETZT",blue,orientation,left,true,true,true,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/e8ef9b9b24-1706712054/img_7277.jpg,""
37,1,,,,wall,,true,true,"Dorotheenstraße 30, FREI | BESETZT",blue,orientation,right,true,false,true,"driver, pedestrian",,""
38,1,,,,ceiling,false,true,true,"EINFAHRT",green,note,,false,false,true,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/b11f90fdbb-1706633597/img_7268.jpg,""
39,1,,,,ceiling,,false,false,"",green,,,false,false,true,"",,""
40,1,,,,ceiling,false,true,true,"AUSFAHRT",red,note,,false,false,true,"driver",http://parkhaus.digitalisat.com/media/pages/signs/1/b197d61973-1706633373/img_7266.jpg,""
41,1,,,,ceiling,,false,false,"",red,,,false,false,true,"",,""
42,2,Gegenüber von,,,wall,false,false,false,"",red,note,,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/06430afa6d-1706373302/img_1010-3.jpg,""
43,2,Vor,,,ceiling,true,true,false,"",green,orientation,right,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/eefa9892a1-1706373359/img_1011-3.jpg,""
44,2,Vor,,,ceiling,true,true,false,"",green,orientation,left,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/22181bbe37-1706373399/img_1012-3.jpg,""
45,2,Vor,,,ceiling,true,false,true,"Ausgang",green,orientation,left,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/fc36460368-1706373462/img_1014-3.jpg,""
46,2,Vor,,,ceiling,true,false,true,"Ausgang",green,orientation,right,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/06244833e8-1706373844/img_1015-3.jpg,""
47,2,Gegenüber von,,,column,false,true,false,"",green,orientation,left,false,true,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/50f5d36977-1706373887/img_1017-3.jpg,""
48,2,Gegenüber von,,,wall,true,true,false,"",green,orientation,bottom,true,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/014d2814e9-1706373929/img_1020-3.jpg,""
49,2,Gegenüber von,,,door,false,false,true,"Ausgang/Exit",black,note,,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/3f2705f94f-1706374054/img_1021-3.jpg,""
50,2,Gegenüber von,,,wall,false,true,true,"Rauchen verboten",red,note,,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/656c63483a-1706374123/img_1022-3.jpg,""
51,2,Gegenüber von,,,wall,false,false,false,"",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/09d3debaf3-1706374185/img_1024-3.jpg,""
52,2,Auf,,,wall,false,false,true,"DAMEN PARKDECK",yellow,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/31af25dfcc-1706374351/img_1025-3.jpg,""
53,2,Gegenüber von,,,wall,false,true,false,"",red,note,,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/33be24ed8b-1706374411/img_1026-3.jpg,""
54,2,Vor,,,ceiling,false,false,false,"",blue,orientation,bottom,false,true,true,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/beece58f4d-1706374631/img_1027-3.jpg,""
55,2,Vor,,,ceiling,false,false,false,"",red,note,,false,true,true,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/a7c06e7d65-1706374986/img_1033-3.jpg,""
56,2,Gegenüber von,,,column,false,false,true,"AUSFAHRT",black,orientation,bottom,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/106c8f9c1a-1706374569/img_1185.jpg,""
57,2,Gegenüber von,,,wall,false,false,false,"",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/eb57dfb8c1-1706374681/img_1028-3.jpg,""
58,2,Auf,,,column,false,true,true,"VORSICHT Rutschgefahr",red,note,,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/3b604db667-1706374793/img_1029-3.jpg,""
59,2,Auf,,,column,false,false,false,"",blue,orientation,right,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/3b604db667-1706374793/img_1029-3.jpg,""
60,2,Auf,,,wall,false,false,true,"DAMEN PARKDECK",yellow,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/62aece645d-1706374838/img_1030-3.jpg,""
61,2,Auf,,,wall,false,false,false,"",blue,orientation,left,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/9b0008e76e-1706374877/img_1031-3.jpg,""
62,2,Auf,,,wall,false,false,true,"DAMEN PARKDECK",yellow,,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/0ed470df8c-1706375261/img_1034-3.jpg,""
63,2,Auf,,,wall,false,false,true,"DAMEN PARKDECK",yellow,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/62b3a28de7-1706375309/img_1035-3.jpg,""
64,2,Auf,,,wall,false,true,false,"",green,orientation,right,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/0ea89308f6-1706375370/img_1038-3.jpg,""
65,2,Auf,,,wall,false,false,true,"DAMEN PARKDECK",yellow,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/6623964257-1706375398/img_1039-3.jpg,""
66,2,Auf,,,wall,false,false,false,"",blue,note,left,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/dbad474f70-1706375440/img_1040-3.jpg,""
67,2,Auf,,,wall,false,false,false,"",blue,orientation,right,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/e28195e7a9-1706375475/img_1041-3.jpg,""
68,2,Auf,,,wall,false,false,false,"",yellow,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/7567751f1b-1706375501/img_1042-3.jpg,""
69,2,Auf,,,wall,false,false,false,"",blue,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/c6c5a4b264-1706375539/img_1044-3.jpg,""
70,2,Auf,,,wall,false,false,true,"DAMEN PARKDECK",yellow,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/33f17bac68-1706375573/img_1045-3.jpg,""
71,2,Gegenüber von,,,wall,false,false,true,"AUFFAHRT",black,orientation,top,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/aac3c278cc-1706375665/img_1046-3.jpg,""
72,2,Gegenüber von,,,wall,false,true,false,"",red,note,,false,true,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/495a15b4f1-1706375734/img_1049-3.jpg,""
73,2,Auf,,,wall,false,false,true,"DAMEN PARKDECK",yellow,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/159e4da26a-1706375993/img_1053-3.jpg,""
74,2,Gegenüber von,,,wall,true,true,false,"",green,orientation,bottom,true,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/53640a9d3a-1706375947/img_1052-3.jpg,""
75,2,Auf,,,wall,false,true,false,"",green,orientation,left,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/159e4da26a-1706375993/img_1053-3.jpg,""
76,2,Vor,,,ceiling,true,true,false,"",green,orientation,left,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/2/4941701301-1706376032/img_1054-3.jpg,""
77,2,Vor,,,ceiling,,true,false,"",green,orientation,right,true,false,true,"pedestrian",,""
78,2,Zwischen,,12,wall,false,false,false,"",red,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/72c88e24b2-1706376089/img_1056-3.jpg,""
79,2,Auf,,,wall,true,false,true,"RESERV",black,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/f6c09b1d2b-1706376127/img_1057-3.jpg,""
80,2,Auf,,,wall,true,false,true,"RESERV",black,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/9b9baaabcf-1706376169/img_1058-3.jpg,""
81,2,Gegenüber von,,,wall,false,false,true,"PARKDECK",yellow,orientation,right,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/2/0361a017f8-1706377749/img_1190.jpg,""
82,3,Neben,,,column,true,true,true,"P",blue,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/3a893dc973-1706357144/image1.jpg,""
83,3,Auf,,,wall,false,true,true,"P",blue,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/869de7c3c1-1706357244/image2.jpg,""
84,3,Auf,,,wall,false,true,true,"P",blue,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/e6b7f5233b-1706357280/image3.jpg,""
85,3,Neben,,,column,true,true,true,"P",blue,note,,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/82e1e0856f-1706357332/image4.jpg,""
86,3,Vor,,,ceiling,false,true,false,"",blue,orientation,bottom,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/de68a2465b-1706357399/image5.jpg,""
87,3,Vor,,,wall,true,true,true,"AUSFAHRT",red,orientation,right,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/de68a2465b-1706357399/image5.jpg,""
88,3,Gegenüber von,,,column,false,true,true,"AUSFAHRT",black,orientation,bottom,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/de68a2465b-1706357399/image5.jpg,""
89,3,Gegenüber von,,,column,false,true,false,"",green,orientation,right,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/7f0f2f4e23-1706357579/image6.jpg,""
90,3,Gegenüber von,,,door,false,false,true,"Ausgang/Exit",black,note,,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/ccacb71db4-1706357648/image7.jpg,""
91,3,Gegenüber von,,,wall,false,false,true,"AUSGANG",red,note,,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/b1b9347012-1706357720/image8.jpg,""
92,3,Gegenüber von,,,ceiling,true,true,false,"Ausgang",green,orientation,right,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/fced2b1a2c-1706357798/image9.jpg,""
93,3,Gegenüber von,,,column,false,true,false,"",green,orientation,right,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/7c5cbe96a0-1706378218/img_1191.jpg,""
94,3,Gegenüber von,,,column,false,false,true,"AUSFAHRT",black,orientation,bottom,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/e9db760824-1706378310/img_1068-3.jpg,""
95,3,Vor,,,wall,false,true,true,"AUSFAHRT",blue,orientation,right,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/6a0f9d4457-1706378356/img_1069-3.jpg,""
96,3,Gegenüber von,,,wall,true,true,false,"",green,orientation,bottom,true,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/f19c1a37d1-1706378507/img_1067-3.jpg,""
97,3,Vor,,,ceiling,true,true,false,"",green,orientation,left,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/9f3314773e-1706378685/img_1074-3.jpg,""
98,3,Vor,,,ceiling,true,true,false,"",green,orientation,right,true,false,true,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/3137af1ef6-1706378719/img_1075-3.jpg,""
99,3,Gegenüber von,,,wall,false,true,false,"",red,note,,false,true,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/a29c5f8aca-1706378784/img_1077-3.jpg,""
100,3,Gegenüber von,,,wall,false,false,false,"",red,note,,false,true,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/de08ee8473-1706378907/img_1078-3.jpg,""
101,3,Auf,,,column,false,false,false,"",blue,orientation,right,false,false,false,"driver",http://parkhaus.digitalisat.com/media/pages/signs/3/9238e0577b-1706378953/img_1079-3.jpg,""
102,3,Auf,,,wall,false,true,false,"",green,orientation,right,false,false,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/68562a51c2-1706379042/img_1080-3.jpg,""
103,3,Gegenüber von,,,wall,false,true,false,"",red,note,,false,true,false,"pedestrian",http://parkhaus.digitalisat.com/media/pages/signs/3/fe8d765ebe-1706379093/img_1081-3.jpg,""
